Year,Week,Team 1,At,Team 2,PtsW,PtsL,YdsW,TOW,YdsL,TOL
2014,15,Arizona Cardinals,@,St. Louis Rams,,0,0,0,0,0
2014,15,Green Bay Packers,@,Buffalo Bills,,0,0,0,0,0
2014,15,Pittsburgh Steelers,@,Atlanta Falcons,,0,0,0,0,0
2014,15,Washington Redskins,@,New York Giants,,0,0,0,0,0
2014,15,Miami Dolphins,@,New England Patriots,,0,0,0,0,0
2014,15,Oakland Raiders,@,Kansas City Chiefs,,0,0,0,0,0
2014,15,Houston Texans,@,Indianapolis Colts,,0,0,0,0,0
2014,15,Jacksonville Jaguars,@,Baltimore Ravens,,0,0,0,0,0
2014,15,Tampa Bay Buccaneers,@,Carolina Panthers,,0,0,0,0,0
2014,15,Cincinnati Bengals,@,Cleveland Browns,,0,0,0,0,0
2014,15,New York Jets,@,Tennessee Titans,,0,0,0,0,0
2014,15,Denver Broncos,@,San Diego Chargers,,0,0,0,0,0
2014,15,Minnesota Vikings,@,Detroit Lions,,0,0,0,0,0
2014,15,San Francisco 49ers,@,Seattle Seahawks,,0,0,0,0,0
2014,15,Dallas Cowboys,@,Philadelphia Eagles,,0,0,0,0,0
2014,15,New Orleans Saints,@,Chicago Bears,,0,0,0,0,0
